comments,value
ame santhosham ga undi,POSITIVE
avakasame ledu!,POSITIVE
kangaru padavadhu,POSITIVE
akkarledu,POSITIVE
nenu parigettagalanu,POSITIVE
nenu angikaristhanu,POSITIVE
nenu adaga galanu,POSITIVE
nenu ralenu,POSITIVE
athaniki kopam vachindhi,POSITIVE
athanu ontariga unnadu,POSITIVE
Athanu dhairyanga unnadu,POSITIVE
kopam techukoku,POSITIVE
yedavaku,POSITIVE
lopaliki randi,POSITIVE
miru vasthara?,POSITIVE
nenu sahayam cheyala?,POSITIVE
nenu dinni thinnavacha?,POSITIVE
nenu miku sahayam cheyagalana?,POSITIVE
nenu chooda vacha?,POSITIVE
nuvvu velthunnava?,POSITIVE
nuvvu aakalitho unnava?,POSITIVE
niku pichi pattindha?,POSITIVE
kopam ga unnava?,POSITIVE
nuvvu nidrapothunnava?,POSITIVE
nuvvu dinni cheyagalava?,POSITIVE
miru naku sahayam cheyagalara?,POSITIVE
miru naku cheppagalara?,POSITIVE
repu randi,POSITIVE
tvaraga ra,POSITIVE
Meeku maatrame cheptha,POSITIVE
nenu cheppindi vinnava?,POSITIVE
miru pogatragutara?,POSITIVE
nuvvu thinnava?,POSITIVE
miru purti chesara?,POSITIVE
athanu parigettadam prarambhinchadu,POSITIVE
athanu matladaledu,POSITIVE
athani kallu neelam,POSITIVE
athani chirunavvu bagundhi,POSITIVE
Ela saguthondi mi jeevitham?,POSITIVE
mi kutumbam ela undhi?,POSITIVE
nenu oka vidyarthini,POSITIVE
nenu chaduvukovadaniki veltunnanu,POSITIVE
nenu upadhyayudini kadhu,POSITIVE
nannu kshaminchandi,POSITIVE
nenu ninnu nammuthunnanu,POSITIVE
nenu ee pani cheyagalanu,POSITIVE
nenu veganga parigettagalanu,POSITIVE
nenu nammalekapothunnanu,POSITIVE
adhi jaruguthundhi,POSITIVE
adhi kottadi,POSITIVE
adhi oka pedda katha,POSITIVE
adhi phakshila kanipistundhi,POSITIVE
idhi nijamga samayam paduthundhi,POSITIVE
idhi nijanga chakaga undhi,POSITIVE
adhi chala sandadiga undhi,POSITIVE
adhi chala kastam,POSITIVE
adhi kharidainadi kadhu,POSITIVE
adhi avasaram ledu,POSITIVE
nannu chadava nivvu,POSITIVE
nenu lopaliki ravocha?,POSITIVE
nenu miku sahayam cheyavacha?,POSITIVE
nenu matladavacha?,POSITIVE
na sodariki udyogam undi,POSITIVE
"ledu, nenu tarvata thintanu",POSITIVE
dayachesi danni malli cheyandi,POSITIVE
dayachesi naku ivvandi,POSITIVE
ame athanni mechukondi,POSITIVE
ame na nundi tappinchukuntundhi,POSITIVE
ame chivariga vaccindhi,POSITIVE
ame pathasala ku velthundhi,POSITIVE
Aa illu peddadhi,POSITIVE
adhi manchi alochana,POSITIVE
adhi na pusthakam,POSITIVE
aadu na koduku,POSITIVE
kukka chanipoyindhi,POSITIVE
etuvanti sandeham ledhu,POSITIVE
varu andanga unnaru,POSITIVE
vallu pelli chesukunnaru,POSITIVE
vari vadda konni pustakalu unnayi,POSITIVE
varu maatladatam manesaru,POSITIVE
idhi naa snehitudu,POSITIVE
ee pakshi egaradu,POSITIVE
idhi aascharyam ga undi,POSITIVE
ee katha nijam,POSITIVE
memu santhosham ga unnamu,POSITIVE
nuvvu ikkadiki vastava?,POSITIVE
miru guruvu,POSITIVE
miru cala andanga unnaru,POSITIVE
miru cala dhairyanga unnaru,POSITIVE
nuvvu nannu premistunnavu,POSITIVE
premistunnavaleda,POSITIVE
miru kastapadi chaduvukovali,POSITIVE
Idi evari aalochana?,POSITIVE
mi sahayaniki ma dhanyavadhamulu,POSITIVE
dhanyavadalu vaccinanduku,POSITIVE
Mi gurinchi ela,POSITIVE
Mi kutumbam ela undhi,POSITIVE
Ela cheppali,POSITIVE
subhodayam,POSITIVE
subha madhyahnam,POSITIVE
subha sayantram,POSITIVE
subha ratri,POSITIVE
Puttinaroju shubhakankshalu,POSITIVE
Ninnu chusinanduku chala santhosham ga undhi,POSITIVE
Naaku adhi istam ledu,POSITIVE
Naaku avagahana ledu,POSITIVE
Naaku anni telusu,POSITIVE
Chala dhanyavadalu,POSITIVE
Koti dhanyavadamulu,POSITIVE
Tharuvatha kaluddham,POSITIVE
Tvaralo kaludham,POSITIVE
Repu kaludham,POSITIVE
Manchi kallu,POSITIVE
Nuvvante naku pichi,POSITIVE
Avasaram ledu,POSITIVE
Miru chala telivainavaru,POSITIVE
meeku abhinandistunnanu,POSITIVE
Nuvvu chala gurthosthunnavu,POSITIVE
nuvvu chala bagunnav,POSITIVE
edi sarainadi?,POSITIVE
Dayachesi naku sahayam chesthara?,POSITIVE
niku ee pusthakam avasarama?,POSITIVE
ippudu vachi nannu choodu,POSITIVE
chala dabbu undi,POSITIVE
vaaru manchi manushulu,POSITIVE
samasya emiti?,POSITIVE
katha emiti?,POSITIVE
mi samasya emiti?,POSITIVE
Mi kutumbam chala undhi,POSITIVE
meeku ardhamavuthundha,POSITIVE
pani gurinchi matladakandi,POSITIVE
na koduku gurinci nenu garvistunnanu,POSITIVE
emaina tappu jariginda?,POSITIVE
nenu talupu teravavacha,POSITIVE
Idi chala adbutham ga undhi,POSITIVE
ramana load ethali ra checkpost padthadhi!,POSITIVE
Nuvvu ekkada nunchi vachavu,POSITIVE
evadu ra nuvvu intha talented ga unnav,POSITIVE
nenu aliganu bonga moothi petukuntunanu,POSITIVE
meeru baga aaduthunaru,POSITIVE
nuvvu vellalanukuntunnava?,POSITIVE
nuvvu naku nerpistava?,POSITIVE
mi gadi ekkada undi?,POSITIVE
manam ekkadiki vellali?,POSITIVE
chala vegam ga eethakottadu,POSITIVE
varu okarinokaru preminchukuntunaru,POSITIVE
nuvvu ekkada nunci vaccavu?,POSITIVE
miru ekkadiki velutunnaru?,POSITIVE
memu okarini okaramu premincukuntunnamu,POSITIVE
memu nibandhanalanu patincamu,POSITIVE
memu nadavadam prarambhincamu,POSITIVE
memu eppatiki angikarincamu,POSITIVE
memu marpu ceyavaccu,POSITIVE
memu pratiroju vanta cestamu,POSITIVE
memu danini anandincamu,POSITIVE
mi sangati enti?,POSITIVE
miru emi cestunnaru?,POSITIVE
nuvvemannavu?,POSITIVE
miku emi kavali?,POSITIVE
miru emanukuntunnaru?,POSITIVE
niku emi kavali?,POSITIVE
Emaindi?,POSITIVE
emiti?,POSITIVE
ame eppudu puttindi?,POSITIVE
memu eppudu vastamu?,POSITIVE
miru ekkada unnaru?,POSITIVE
Ekkada noppi pudutundi?,POSITIVE
na pustakamu ekkada?,POSITIVE
nadi ekkada undi?,POSITIVE
Dinni evaru pagalagottaru?,POSITIVE
nuvvu enduku edustunnavu?,POSITIVE
nenu emi cudalenu,POSITIVE
nenu mito ekibhavincanu,POSITIVE
naku adi cala baga naccinadi,POSITIVE
naku marinta samayam kavali,POSITIVE
nenu nidra povalanukuntunnanu,POSITIVE
naku ita vaccu,POSITIVE
nenu doctor ni kadu,POSITIVE
nenu nikante podugga unnanu,POSITIVE
nenu cala vicaranga unnanu,POSITIVE
atanu upadhyayuda?,POSITIVE
ameku pellayinda?,POSITIVE
i pustakam midena?,POSITIVE
guruvugarini adugudam,POSITIVE
sinimaki veldam,POSITIVE
atani abhiprayam angikarincabadaledu,POSITIVE
ayana pratipadanalanu samavesanlo amodincaru,POSITIVE
miru pathasalaku ela vastaru?,POSITIVE
"na daggara dabbu unte, nenu danini konagalanu",POSITIVE
"miku pensil kavalante, nenu miku oka pensil istanu",POSITIVE
"atanu vaste, veci undamani adagandi",POSITIVE
varsam padite tadisipotam,POSITIVE
"nenu caduvukunte, nenu pariksalo uttirnata sadhistanu",POSITIVE
na juttu cala podavuga perigindi,POSITIVE
ma amma eppudu intlone untundi,POSITIVE
i sarassulo cala cepalu unnayi,POSITIVE
pariskarincadaniki aneka samasyalu unnayi,POSITIVE
desk mida konni pustakalu unnayi,POSITIVE
atani tappu emi ledu,POSITIVE
vatavarananlo akasmattuga marpu vaccindi,POSITIVE
totalo evaru leru,POSITIVE
akkada evaru leru,POSITIVE
i nelalo aidu hatyalu jarigayi,POSITIVE
varu okarinokaru meccukuntaru,POSITIVE
varu kalisi paniceyadaniki angikarincaru,POSITIVE
variddaru manci upadhyayulu,POSITIVE
maku kottadi kavali,POSITIVE
manam cala jagrattaga undali,POSITIVE
nenu ninnu taduparisari eppudu cudagalanu?,POSITIVE
miru pani eppudu purti cesaru?,POSITIVE
miru mi godhumalanu eppudu pandistaru?,POSITIVE
Ekkadiki velladalucukunnavu?,POSITIVE
andamaina ammayi ekkada undi?,POSITIVE
miku e aharam istam?,POSITIVE
idhi marinta mukhyamainadi?,POSITIVE
adhi kharidainadi?,POSITIVE
samipa margam edi?,POSITIVE
miku istamaina jattu edi?,POSITIVE
miru e bhasalu matladataru?,POSITIVE
Aa jattu game gelustundi?,POSITIVE
miru mi juttunu enduku arabettukuntunnaru?,POSITIVE
nuvvu enduku alasyam ayyavu?,POSITIVE
niku enduku anta kopam vaccindi?,POSITIVE
miru enduku vidicipettaru?,POSITIVE
miru enduku lopaliki raru?,POSITIVE
i udayam enduku alasyam ayyavu?,POSITIVE
iroju enduku baga alasipoyavu?,POSITIVE
miru nato dans ceyalanukuntunnara?,POSITIVE
repu vastava?,POSITIVE
miru ellappudu phiryadu cestunnaru,POSITIVE
mi vivaranaku dhanyavadalu,POSITIVE
abhinandanalaku krtajnatalu,POSITIVE
samacaram andicinandulaku dhanyavadamulu,POSITIVE
ardham cesukunnanduku dhanyavadamulu,POSITIVE
naku maddatu iccinanduku dhanyavadalu,POSITIVE
Nenu ninnu cala mis ayyanu,POSITIVE
Premikula roju subhakanksalu,POSITIVE
tudi nirnayam evaridi?,POSITIVE
miru manchi guruvu,POSITIVE
miru i pustakanni cadavagalaru,POSITIVE
miru nannu artham cesukoru,POSITIVE
miru kastapadi caduvukovali,POSITIVE
niku noppi ekkada undi?,POSITIVE
iddaru gadilo unnaru,POSITIVE
dayachesi mi ceyi naku ivvandi,POSITIVE
dayachesi pathasalaku vellandi,POSITIVE
dayachesi ikkada kurchuni undandi,POSITIVE
dayachesi marinta nemmadiga matladandi,POSITIVE
ma nanna tana gadilo unnadu,POSITIVE
nenu ninnu oka visayam adagavacca?,POSITIVE
nenu mimmalni oka prasna adagavacca?,POSITIVE
Udyogam inka andubatulo unda?,POSITIVE
nenu cala tvaraga akkadiki cerukunnanu,POSITIVE
miku kutumbam unda?,POSITIVE
niku edaina samasya unda?,POSITIVE
nikamaina telusa?,POSITIVE
miru pani purti cesara?,POSITIVE
miku sinima naccinda?,POSITIVE
meeru ippudu velladaniki siddhanga unnara?,POSITIVE
miru ravalanukuntunnara?,POSITIVE
Nenu baga matladanu,POSITIVE
Ee nagaraniki emaindi,POSITIVE
Nee happiness ne anna maku kavalsindhi,POSITIVE
Ne smile ki pedda fan eee anna nenu,POSITIVE
Attitude chintu gadu ekkada kuda attitude laga vunnadu,POSITIVE
Em Vunnadu ra Babu,POSITIVE
Ramana gadu,POSITIVE
Kutha ramppp Anna,POSITIVE
Ayyyoooriiii thandavaaaaaamm,POSITIVE
Enni basthalu papers tiskellina saripov emo anna,POSITIVE
Anna namasthe pellam poragallu manchiga unnare,POSITIVE
em still raa ayya adhi,POSITIVE
Anna oddu anna delete chesey anna,POSITIVE
Super vundi inka eppudu veyaku,POSITIVE
Wow annaya,POSITIVE
Babu land aythey opposition ki band a,POSITIVE
Anna okka msg chey Anna plz,POSITIVE
Odhina chala lucky abba ma abbaillu andarki odhina lanti ammailu ravali abaa,POSITIVE
Miru vadhina chala Baga vunnaru annayya,POSITIVE
Oksari ayina ninnu chudalli annaya,POSITIVE
Jay siya ram,POSITIVE
Darlingeyy,POSITIVE
ANNA NUVU SUPER ANNA,POSITIVE
edi kada kavalsindhiii,POSITIVE
Anna meru maa devudu,POSITIVE
Inka icchipadesthav ga,POSITIVE
Pelli Chesesko anna vadhina ni,POSITIVE
UPDATE kosam kallu pelipoyela wait chestunte nuvvu food Ela cheyalo nerpistunnavaa annaaa,POSITIVE
Nidhi chala manchi Heart Anna,POSITIVE
Meru chala bagunaru medam,POSITIVE
Bangaaruuu,POSITIVE
entha cute ga vunavoo,POSITIVE
Santoor mummy Santoor daddy,POSITIVE
"naa jeevana rekha, naa soubhagya rekha",POSITIVE
Jai chiranjeeva,POSITIVE
"Maa dhairyam nuvve, maa garvam nuvve",POSITIVE
Boss aa majaka!!!,POSITIVE
"Andhala bamma, athiloka sundari",POSITIVE
meeru chala muddhu vachesthunaru,POSITIVE
ha sare ayithe,POSITIVE
mee venaka edho shakti undhi,POSITIVE
guruvu gaariki pranamamulu,POSITIVE
Adi Ella leka indrabhavanama,POSITIVE
elanti Kalmasham leni manishi meeru,POSITIVE
mee lanti manishi prathi kutumbam lo undali,POSITIVE
Maa bangaram,POSITIVE
meeku naa abhinandanalu,POSITIVE
puli veta ki date khararu aindi,POSITIVE
super anna adiripoyav,POSITIVE
thaggedhele,POSITIVE
nuvvu naa praanam ra,POSITIVE
nice Chitti thalli meru chala andhamga unnaru meru,POSITIVE
Devatha sir devatha,POSITIVE
Mari intha cute Ga unte Hart bet ekkuva ayipoyindi,POSITIVE
Entha Mudhuga Ela puttavu,POSITIVE
Ammyilu andam ga untaru ani telusu,POSITIVE
Vamo entha andhama movies lo try cheyandi,POSITIVE
Adrustam undalamma nee lanti ammayi Dhorakalante,POSITIVE
1000cr thoo chocolates konkooo,POSITIVE
Saree lo bagunaru,POSITIVE
Miru 2 Jadalu vesukoni mudhu ga vunaru,POSITIVE
Adbhutamaina,POSITIVE
Andariki Shubhakankshalu,POSITIVE
Anandam,POSITIVE
Super,POSITIVE
Chala Bagundi,POSITIVE
Prema,POSITIVE
Amazing,POSITIVE
Khushi,POSITIVE
Antarangamga,POSITIVE
Brilliant,POSITIVE
Ananda Kala,POSITIVE
Abhinaya Kala,POSITIVE
Sahaja Kala,POSITIVE
Anukoolabhavana Kala,POSITIVE
Adbhuta Sphurana,POSITIVE
Pranayi Sphurana,POSITIVE
Anuvadana Sphurana,POSITIVE
Vilasita Vandana,POSITIVE
Ananda Vandana,POSITIVE
Abhinaya Vandana,POSITIVE
Sahaja Vandana,POSITIVE
Anukoolabhavana Vandana,POSITIVE
Adbhuta Kavya,POSITIVE
Pranayi Kavya,POSITIVE
Anuvadana Kavya,POSITIVE
Vilasita Sambandham,POSITIVE
Ananda Sambandham,POSITIVE
Abhinaya Sambandham,POSITIVE
Sahaja Sambandham,POSITIVE
Anukoolabhavana Sambandham,POSITIVE
Adbhuta Sphurana,POSITIVE
Pranayi Sphurana,POSITIVE
Anuvadana Sphurana,POSITIVE
Vilasita Vandana,POSITIVE
Ananda Vandana,POSITIVE
Anuvadana Bhavana,POSITIVE
Vilasita Anubhava,POSITIVE
Ananda Anubhava,POSITIVE
Abhinaya Anubhava,POSITIVE
Sahaja Anubhava,POSITIVE
Anukoolabhavana Anubhava,POSITIVE
Adbhuta Anubhava,POSITIVE
Pranayi Anubhava,POSITIVE
Vilasita Saundaryam,POSITIVE
Ananda Saundaryam,POSITIVE
Abhinaya Saundaryam,POSITIVE
Sahaja Saundaryam,POSITIVE
Anukoolabhavana Saundaryam,POSITIVE
Adbhuta Saundaryam,POSITIVE
Pranayi Saundaryam,POSITIVE
Anuvadana Saundaryam,POSITIVE
Vilasita Bhakti,POSITIVE
Ananda Bhakti,POSITIVE
Abhinaya Bhakti,POSITIVE
Sahaja Bhakti,POSITIVE
Anukoolabhavana Bhakti,POSITIVE
Adbhuta Bhakti,POSITIVE
Pranayi Bhakti,POSITIVE
Anuvadana Bhakti,POSITIVE
Vilasita Prema,POSITIVE
Abhinaya Vandana,POSITIVE
Sahaja Vandana,POSITIVE
Anukoolabhavana Vandana,POSITIVE
Adbhuta Kala,POSITIVE
Pranayi Kala,POSITIVE
Anuvadana Kala,POSITIVE
Vilasita Prema,POSITIVE
Ananda Prema,POSITIVE
Abhinaya Prema,POSITIVE
Sahaja Prema,POSITIVE
Anukoolabhavana Prema,POSITIVE
Adbhuta Bhava,POSITIVE
Pranayi Bhava,POSITIVE
Anuvadana Bhava,POSITIVE
Vilasita Bhakti,POSITIVE
Ananda Bhakti,POSITIVE
Abhinaya Bhakti,POSITIVE
Sahaja Bhakti,POSITIVE
Anukoolabhavana Bhakti,POSITIVE
Adbhuta Bhakti,POSITIVE
Pranayi Bhakti,POSITIVE
Anuvadana Bhakti,POSITIVE
Vilasita Saundaryam,POSITIVE
Ananda Saundaryam,POSITIVE
Abhinaya Saundaryam,POSITIVE
Snehamu,POSITIVE
Anuraagam,POSITIVE
Bhakti,POSITIVE
Kaamam,POSITIVE
Aakarshanam,POSITIVE
Moham,POSITIVE
Sparsham,POSITIVE
Manninchu,POSITIVE
Vatsalyam,POSITIVE
Hrudayam,POSITIVE
Premabhakti,POSITIVE
Abhimanam,POSITIVE
Jeevitham,POSITIVE
Snehitam,POSITIVE
Kalavaramu,POSITIVE
Mohana,POSITIVE
Dhairyam,POSITIVE
Vinamrata,POSITIVE
Premalayam,POSITIVE
Sparshanalu,POSITIVE
Aashirvadam,POSITIVE
Viplavam,POSITIVE
Anubhavam,POSITIVE
Raasaleela,POSITIVE
Bhavana,POSITIVE
Anubhuti,POSITIVE
Santhosham,POSITIVE
Snehaanjali,POSITIVE
Kalpana,POSITIVE
Daya,POSITIVE
Akarshana,POSITIVE
Prakruti,POSITIVE
Anurakti,POSITIVE
Anukoolamu,POSITIVE
Amrutham,POSITIVE
Madhuram,POSITIVE
Nithyam,POSITIVE
Premapathalu,POSITIVE
Abhyudayam,POSITIVE
Marakata,POSITIVE
Abhiruchi,POSITIVE
Hasyam,POSITIVE
Manoharam,POSITIVE
Vishesham,POSITIVE
Varadalachu,POSITIVE
Sukoonam,POSITIVE
Pratyaksham,POSITIVE
Aanandam,POSITIVE
Anandaalu,POSITIVE
Premagandha,POSITIVE
Manoharamu,POSITIVE
Spandana,POSITIVE
Madhurabhasha,POSITIVE
Ishtamaina,POSITIVE
Premikudu,POSITIVE
Sahaja,POSITIVE
Abhivyakti,POSITIVE
Kalalu,POSITIVE
Vismayam,POSITIVE
Adbhutamaina,POSITIVE
Vimarsham,POSITIVE
Rahasyam,POSITIVE
Manasuku Nachina,POSITIVE
Aastha,POSITIVE
Priyamaina,POSITIVE
Anugrahamu,POSITIVE
Sahasam,POSITIVE
Ananda Bhairavi,POSITIVE
Sparshitha,POSITIVE
Rasaleela,POSITIVE
Madhuryam,POSITIVE
Anurakthi,POSITIVE
Aashirvaadamu,POSITIVE
Aadharam,POSITIVE
Prema Bhavam,POSITIVE
Aradhana,POSITIVE
Sneha Sandesam,POSITIVE
Vimarsha,POSITIVE
Anandabhairavi,POSITIVE
Anugraha,POSITIVE
Snehapoorvaka,POSITIVE
Ksheerabdi,POSITIVE
Anuraga Bhara,POSITIVE
Pranaya,POSITIVE
Anandamaya,POSITIVE
Vinamra,POSITIVE
Sneha Vruksham,POSITIVE
Manohara,POSITIVE
Prema Kavi,POSITIVE
Anukoolyam,POSITIVE
Vismayakaram,POSITIVE
Vichakshana,POSITIVE
Sneha Drishti,POSITIVE
Abhimanulato,POSITIVE
Hridayasparsha,POSITIVE
Aalasyam,POSITIVE
Anupallavi,POSITIVE
Prema Sagaram,POSITIVE
Anupamam,POSITIVE
Prematho,POSITIVE
Abhyantara,POSITIVE
Anveshana,POSITIVE
Jwalitha,POSITIVE
Anuraktha,POSITIVE
Manoharamaina,POSITIVE
Anuraaga Bhava,POSITIVE
Vinuthana,POSITIVE
Sahridaya,POSITIVE
Saundarya,POSITIVE
Anveshanalu,POSITIVE
Adbhuta,POSITIVE
Abhiram,POSITIVE
Prema Geetam,POSITIVE
Ananda Sahitya,POSITIVE
Aanandamaya,POSITIVE
Abhivriddhi,POSITIVE
Vishishta,POSITIVE
Anuraaga Venu,POSITIVE
Spandana,POSITIVE
Prema Samrajyam,POSITIVE
Aakarshana Shakti,POSITIVE
Sneha Bhasha,POSITIVE
Vilasa,POSITIVE
Aanandamayi,POSITIVE
Ananya,POSITIVE
Vismaya,POSITIVE
Anuvadana,POSITIVE
Sahaja Premam,POSITIVE
Sneha Sparsham,POSITIVE
Vimarsha,POSITIVE
Premapatrika,POSITIVE
Anuragamaina,POSITIVE
Aalapana,POSITIVE
Hrudaya Vihanga,POSITIVE
Anubhavamayi,POSITIVE
Priyamaina,POSITIVE
Prema Rangam,POSITIVE
Abhigyana,POSITIVE
Anuragamu,POSITIVE
Vilasam,POSITIVE
Anukshanika,POSITIVE
Aathmika,POSITIVE
Sahridaya Bhavana,POSITIVE
Abhijna,POSITIVE
Anveshinchadam,POSITIVE
Adbhuta Bhasha,POSITIVE
Pranayi,POSITIVE
Anandotsavam,POSITIVE
Vilasa Venu,POSITIVE
Adbhutamaina,POSITIVE
Anudinamaina,POSITIVE
Pranayitha,POSITIVE
Vihangam,POSITIVE
Ananya Prema,POSITIVE
Abhivadanam,POSITIVE
Anuragapriya,POSITIVE
Vilasita,POSITIVE
Sneha Bindu,POSITIVE
Aanandapriya,POSITIVE
Vimarshitha,POSITIVE
Abhimaanam,POSITIVE
Anuvamsika,POSITIVE
Pranayadhvani,POSITIVE
Vilasamaina,POSITIVE
Adbhuta Bhaava,POSITIVE
Sneha Kusuma,POSITIVE
Ananda Bheri,POSITIVE
Prema Tarangam,POSITIVE
Abhivyakti,POSITIVE
Anuraagi,POSITIVE
Sneha Spandana,POSITIVE
Hridayapriya,POSITIVE
Vimarsha Sphurana,POSITIVE
Prema Dhwani,POSITIVE
Anurakti Saundarya,POSITIVE
Vimarsha Saundarya,POSITIVE
Sneha Saundarya,POSITIVE
Vilasita Bhava,POSITIVE
Ananda Saundarya,POSITIVE
Abhinaya Saundarya,POSITIVE
Sahaja Saundarya,POSITIVE
Anukoolabhavana Saundarya,POSITIVE
Adbhuta Bhava,POSITIVE
Pranayi Bhava,POSITIVE
Anuvadana Bhava,POSITIVE
Vilasita Bhakti,POSITIVE
Ananda Bhakti,POSITIVE
Abhinaya Bhakti,POSITIVE
Sahaja Bhakti,POSITIVE
Anukoolabhavana Bhakti,POSITIVE
Adbhuta Saundarya,POSITIVE
Pranayi Saundarya,POSITIVE
Anuvadana Saundarya,POSITIVE
Vilasita Prema,POSITIVE
Ananda Prema,POSITIVE
Abhinaya Prema,POSITIVE
Sahaja Prema,POSITIVE
Anubhava Sambandham,POSITIVE
Abhivruddhi Saundaryam,POSITIVE
Anurakti Kavya,POSITIVE
Vimarsha Saundaryam,POSITIVE
Sneha Saundaryam,POSITIVE
Vilasita Bhakti,POSITIVE
Ananda Kavya,POSITIVE
Abhinaya Bhava,POSITIVE
Sahaja Kavya,POSITIVE
Anukoolabhavana Saundaryam,POSITIVE
Adbhuta Bhakti,POSITIVE
Pranayi Kavya,POSITIVE
Anuvadana Bhakti,POSITIVE
Vilasita Sambandham,POSITIVE
Ananda Saundaryam,POSITIVE
Abhivriddhi Sphurana,POSITIVE
Anurakti Bhakti,POSITIVE
Vimarsha Bhakti,POSITIVE
Sahaja Bhakti,POSITIVE
Sneha Bhakti,POSITIVE
Vilasita Prema,POSITIVE
Ananda Bhakti,POSITIVE
Adbhuta Saundaryam,POSITIVE
Anukoolabhavana Bhakti,POSITIVE
Abhivriddhi Kavya,POSITIVE
Sahaja Sambandham,POSITIVE
